country_iso3,year,source,indicator_code,indicator_short,value
ABW,1976,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1976,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1976,worldbank,SP.ADO.TFRT,adolescent_fertility,43.48
ABW,1976,worldbank,SP.DYN.TFRT.IN,tfr,2.432
ABW,1976,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.2053256155704
ABW,1977,un,UN_18,mean_age_childbearing,27.445
ABW,1977,un,UN_41,female_population_15_49,17180.5
ABW,1977,un,UN_50,population_change,219.999999999999
ABW,1977,un,UN_66,crude_net_migration_rate,-11.835
ABW,1977,un,UN_67,median_age,22.2348632226724
ABW,1977,un,UN_83,child_dependency_ratio,48.9924012938337
ABW,1977,un,UN_86,total_dependency_ratio,57.9067618216358
ABW,1977,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1977,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1977,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1977,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1977,worldbank,SP.ADO.TFRT,adolescent_fertility,43.848
ABW,1977,worldbank,SP.DYN.TFRT.IN,tfr,2.372
ABW,1977,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.5330551489654
ABW,1978,un,UN_18,mean_age_childbearing,27.347
ABW,1978,un,UN_41,female_population_15_49,17450.5
ABW,1978,un,UN_50,population_change,195.999999999998
ABW,1978,un,UN_66,crude_net_migration_rate,-12.071
ABW,1978,un,UN_67,median_age,22.8853022065262
ABW,1978,un,UN_83,child_dependency_ratio,47.0087416347236
ABW,1978,un,UN_86,total_dependency_ratio,56.1577289460701
ABW,1978,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1978,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1978,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1978,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1978,worldbank,SP.ADO.TFRT,adolescent_fertility,43.956
ABW,1978,worldbank,SP.DYN.TFRT.IN,tfr,2.312
ABW,1978,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.7955452829535
ABW,1979,un,UN_18,mean_age_childbearing,27.252
ABW,1979,un,UN_41,female_population_15_49,17650.0
ABW,1979,un,UN_50,population_change,158.000000000001
ABW,1979,un,UN_66,crude_net_migration_rate,-12.246
ABW,1979,un,UN_67,median_age,23.5262323451411
ABW,1979,un,UN_83,child_dependency_ratio,45.3785398285386
